Amount: €54.17 | Receiver: Lidl | Time: 2024-05-19
Amount: €60.83 | Receiver: K-Market | Time: 2025-01-19
Amount: €27.42 | Receiver: Lidl | Time: 2025-01-20
Amount: €26.76 | Receiver: Wolt | Time: 2025-01-21
Amount: €52.32 | Receiver: Lidl | Time: 2025-01-24
Amount: €23.31 | Receiver: HSL | Time: 2025-01-29
Amount: €21.68 | Receiver: Alepa | Time: 2025-02-02
Amount: €61.06 | Receiver: K-Market | Time: 2025-02-12
Amount: €400.01 | Receiver: Nordnet Investment | Time: 2025-02-21
Amount: €25.83 | Receiver: K-Market | Time: 2025-02-25
Amount: €197.24 | Receiver: Finnair | Time: 2025-02-27
Amount: €62.1 | Receiver: Finnair | Time: 2025-03-02
Amount: €29.82 | Receiver: Wolt | Time: 2025-03-04
Amount: €7.79 | Receiver: Netflix | Time: 2025-03-16
Amount: €51.76 | Receiver: Finnair | Time: 2025-03-21
Amount: €20.4 | Receiver: Wolt | Time: 2025-03-22
Amount: €43.85 | Receiver: S-Market | Time: 2025-03-23
Amount: €34.19 | Receiver: Alepa | Time: 2025-03-31
Amount: €142.62 | Receiver: Finnair | Time: 2025-04-01
Amount: €46.73 | Receiver: Wolt | Time: 2025-04-05
Amount: €52.9 | Receiver: K-Market | Time: 2025-04-08
Amount: €8.72 | Receiver: Netflix | Time: 2025-04-12
Amount: €6.18 | Receiver: VR Matkalla | Time: 2025-04-13
Amount: €16.53 | Receiver: VR Matkalla | Time: 2025-04-17
Amount: €32.09 | Receiver: Helsinki Gym | Time: 2025-04-17
Amount: €52.07 | Receiver: Alepa | Time: 2025-04-19
Amount: €35.38 | Receiver: Yoga Helsinki | Time: 2025-04-23
Amount: €273.78 | Receiver: Finnair | Time: 2025-04-29
Amount: €57.87 | Receiver: S-Market | Time: 2025-05-01
Amount: €50.14 | Receiver: Alepa | Time: 2025-05-01
Amount: €52.88 | Receiver: Yoga Helsinki | Time: 2025-05-05
Amount: €54.98 | Receiver: Cafe Regatta | Time: 2025-05-06
Amount: €27.67 | Receiver: Lidl | Time: 2025-05-08
Amount: €13.88 | Receiver: Netflix | Time: 2025-05-10
Amount: €46.12 | Receiver: Helsinki Gym | Time: 2025-05-11
Amount: €31.98 | Receiver: Amazon.de | Time: 2025-05-11
Amount: €37.0 | Receiver: Lidl | Time: 2025-05-12
Amount: €141.9 | Receiver: Amazon.de | Time: 2025-05-12
Amount: €33.01 | Receiver: HSL | Time: 2025-05-15
